country,year_month,Permissive_equal_opportunities_rate,Permissive_fairness_rate,Permissive_meritocracy_rate,Permissive_other_rate,Permissive_redistribution_rate,Restrictive_equal_opportunities_rate,Restrictive_fairness_rate,Restrictive_meritocracy_rate,Restrictive_other_rate,Restrictive_redistribution_rate,num_sources,num_domains,HHI,ENP,Top1,Top3,Top5,Entropy,TailShare,g1,g2,g3,g4,g5,g6,G_Trends,G_Trends_var
AU,2011-01,1.106561912138984,1.106561912138984,0.0,1.7704990594223746,2.877060971561358,0.0,0.6639371472833905,0.0,1.7704990594223746,2.877060971561358,1494.0,93.0,0.0715015349214797,13.985713748637176,0.1967871485943775,0.3795180722891566,0.5033467202141901,3.3483175586493457,0.2580645161290322,0.4124160549606557,-1.7662808791230764,-1.4206805471594737,-0.7171708926761727,-0.9550735697221074,-2.657311287534302,-1.1840168535424127,
AU,2011-02,0.6084945843981988,0.6084945843981988,0.0,2.2311468094600624,1.0141576406636648,0.4056630562654659,0.4056630562654659,0.0,2.2311468094600624,1.0141576406636648,1455.0,94.0,0.0888033915518239,11.260831174633909,0.2412371134020618,0.4233676975945017,0.5312714776632302,3.250522870862126,0.2553191489361702,-0.6086392726893045,-0.659060029523536,-1.4206805471594737,-0.7171708926761727,-0.9550735697221074,-0.3087674988457083,-0.7782319684360505,0.4057848851063622
AU,2011-03,0.0,0.361095563940997,0.0,1.444382255763988,0.9027389098524924,0.0,0.0,0.0,1.444382255763988,0.9027389098524924,1753.0,108.0,0.0960150132980411,10.41503787429462,0.2635482030804335,0.4392470051340559,0.5202509982886481,3.238253238893153,0.287037037037037,-0.1710441322678929,0.2372616106284729,-1.4206805471594737,-0.7171708926761727,0.9454344756626748,1.3792483492742185,0.0421748105769711,0.8204067790130216
AU,2011-04,0.1772641057912183,0.0,0.0,1.9499051637034015,0.5317923173736551,0.1772641057912183,0.0,0.0,1.9499051637034015,0.5317923173736551,1764.0,108.0,0.0844022038142543,11.848031861830536,0.2414965986394557,0.3905895691609977,0.4982993197278911,3.322760517269621,0.2777777777777778,-0.0251790854607557,-0.4481608200760045,0.3221202289103394,-0.7171708926761727,-0.9550735697221074,1.085680375688144,-0.1229639605560928,-0.165138771133064
AU,2011-05,0.4695056105920466,0.9390112211840932,0.3130037403946977,3.443041144341674,2.191026182762884,0.3130037403946977,0.1565018701973488,0.0,3.443041144341674,1.8780224423681864,2048.0,118.0,0.0816035270690918,12.254372279194788,0.248046875,0.36328125,0.4482421875,3.429111497668593,0.2288135593220339,-0.3898417024785987,0.2899864129903558,-1.4206805471594737,-0.7171708926761727,-0.9550735697221074,1.1590723690846627,-0.3389513216602222,-0.2159873611041294
AU,2011-06,0.0,0.0,0.3031497256494982,3.031497256494983,0.6062994512989965,0.0,0.0,0.3031497256494982,3.031497256494983,0.6062994512989965,2023.0,116.0,0.0840548716942507,11.89699038073006,0.2550667325753831,0.3677706376668314,0.4582303509639149,3.437475737587305,0.2068965517241379,0.3394835315570871,-0.5008856224378874,0.3668074282967449,-0.7171708926761727,-0.9550735697221074,1.3792483492742185,-0.0145984626180194,0.3243528590422027
AU,2011-07,0.6454840323387501,2.0978231051009377,0.8068550404234376,0.968226048508125,3.2274201616937503,0.322742016169375,1.4523390727621877,0.1613710080846875,0.968226048508125,2.743307137439688,2063.0,117.0,0.092548841403685,10.805105551112636,0.2709646146388754,0.3950557440620456,0.4857004362578769,3.394431923191246,0.1709401709401709,0.4853485783642243,-1.2390328555042476,0.4114946276831503,-0.7171708926761727,-0.9550735697221074,-0.8225114526213383,-0.4728242607460819,-0.4582257981280624
AU,2011-08,1.010057284677431,1.5872328759216774,0.5771755912442462,0.7214694890553078,2.4529962627880466,0.2885877956221231,0.1442938978110615,0.0,0.7214694890553078,2.164408467165924,2228.0,140.0,0.0782198331017988,12.784481382088275,0.2419210053859964,0.3586175942549371,0.4627468581687611,3.5153909579948714,0.3285714285714285,-0.3169091790750301,0.0263624011809414,0.5902434252287722,-0.7171708926761727,-0.9550735697221074,0.7921124021020699,-0.0967392354935877,0.3760850252524941
AU,2011-09,0.1342606267286055,0.0,0.1342606267286055,2.148170027657689,0.6713031336430278,0.1342606267286055,0.0,0.1342606267286055,2.148170027657689,0.6713031336430278,2344.0,126.0,0.0832959615138208,12.005383956508815,0.2491467576791808,0.3660409556313993,0.4756825938566553,3.41856508060543,0.238095238095238,-0.2439766556714615,0.2372616106284729,-1.4206805471594737,-0.7171708926761727,-0.9550735697221074,0.1315844615334029,-0.4946759321778898,-0.397936696684302
AU,2011-10,0.674554456781296,1.6189306962751104,0.2698217827125184,2.698217827125184,3.642594066618998,0.2698217827125184,0.674554456781296,0.0,2.698217827125184,3.1029505011939613,2264.0,113.0,0.0778177246563198,12.850542783363002,0.2305653710247349,0.3590989399293286,0.4695229681978798,3.393008207016981,0.2212389380530973,0.3394835315570871,0.7117848318854189,-1.4206805471594737,-0.7171708926761727,-0.9550735697221074,1.3058563558777,-0.1226333817062579,0.3720425504716318
